status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,,Business,Economy Class,Denver to San Francisco,April 2023,1.0,1.0,1.0,,,1.0,1,no,1,"  ATA Rated flight case of 18x12x5 didn't fit their 18x14x9 box. When asking about the ridiculous slot size, I was told to fork over $99 or miss my flight. When I asked for a manager, I was told ""Sir, pay me or don't fly"". Was told to not photograph the ill-fitting box (which I did).No free water services for a 2.5+ hour flight. I was told the flight was not full and we could relocate ... when we got up to grab an unclaimed seat, I was told it would cost an additional $50 to do so.  Never again."
✅ Trip Verified ,,Couple Leisure,Economy Class,Philadelphia to Denver,November 2022,1.0,1.0,,,,1.0,1,no,1, Flights are cheap and seats are very uncomfortable. Charged me $100 for a carry on the fit in the measurement tool. This company is scamming people. Absolutely 0 customer service!
Not Verified ,,Solo Leisure,Economy Class,San Francisco to Washington via Denver,April 2023,1.0,1.0,,,,1.0,1,no,1,"  I have flown a lot throughout my life, domestic and international, and this is the worst experience I’ve had thus far. I began my journey in SFO with a connecting flight to Denver with my final destination in DCA. SFO to Denver was fairly smooth. However, the last half of my journey was pure mayhem. They had delayed my flight 1.5 hours hours before even arriving in Denver, and then 30 minutes before its new departure, they cancelled the flight. Everyone scrambled to the front desk to receive new flights/be refunded. I then proceeded to wait 4 more hours for the next, which they also delayed! Finally we take off, after 8 hours of being in the Denver airport. Then the pilot struggles to land our plane to due winds. We circled for almost 45 minutes, before we finally landed. It took me almost 20 hours to arrive from the west coast to the east coast. Absolutely absurd. Also this airline nickel and dimes you for everything. Nothing is complementary, poor customer service and unreliable. I paid additional money to fly a different airline home and ate my original ticket because this experience was so bad! Invest in a better airline!"
✅ Trip Verified ,,Couple Leisure,Economy Class,Philadelphia to Nashville,April 2023,2.0,1.0,1.0,1.0,,3.0,3,no,1," Flight from Nashville to Philadelphia on 03/31 was delayed 90 minutes. That was annoying, but the flight was fine. Flight from Philadelphia to Nashville on 04/02 was on time, but ended up being one of the worst flights I've ever been on. During boarding, I commented to my husband that the entire flight crew seemed under the age of 35. They joked during announcements, which is pretty standard for budget flights these days. Overall flight wasn't bad. Some turbulence, but we made good time and arrived in Nashville early. But then we tried to land, and that's where things got bad...really bad. The pilot had to abort mid landing and go around the airport. It was abrupt and unnerving. It's a rare occurrence (estimated 1-3 in 1,000 landings), but it happens. We circled for several minutes before the pilot came on and confirmed that he had to abort (didn't explain why), and said essentially we were going to circle and land. 10-15 minutes later he tried again. On his second attempt he aborted again. After the 2nd abort, the pilot did explain that on the first approach the tower asked him to pull up because another plane was in the way, and on the second approach he didn't have enough speed to manage the wind. He encouraged us to turn on our air and that he had lowered the temperature in the cabin. Why? You may ask. Because it turns out that two aborted landings with tight pull ups and hard banks will make people sick. A lot of people. They told us to use the bags in the seat pockets. But there weren't any. Like none on the entire plane. At one point while we were circling, a man got up to ask for a bag and the flight attendant started yelling at him to sit down. He explained he needed a bag, and she just kept yelling at him. Others were shouting for bags, and no one had any. Someone several rows away managed to find a paper bag for the woman next to us, and she started puking. We were begging the flight attendants for help, and their response was that people should just pass around bags if they have any. The entire cabin is yelling back that there are no bags. Someone asked her what she wanted us to do if we needed to throw up. Do we throw up in the aisles? She got on the microphone and said she didn't feel safe getting up to find bags, so we just needed to ""do what you need to do."" At that point it got pretty quiet except for the sound of people puking. It was probably another 15 minutes for the second go around. On the third landing, we made it. The plane was dead quiet. Another flight attendant tried to break the ice by making a joke that the final attempt was ""smooth like butter"". It was not appreciated. Someone went off on him that ""he needed to know when it was a time to joke and a time to pray, and this was NOT a time to joke."" As we were trying to leave, the poor woman next to us, who had been puking into a *paper* bag for 15 minutes, stood up, and the bottom of her bag gave way. She, and the seat, and the floor were now covered in puke. We finally managed to get out and were met with a crowd of people who were already lined up to get on the plane we just got off. I hope they were delayed for cleaning. The lack of experienced flight crew turned a rough situation into a horrific situation. The pilot's inexperience likely contributed to the two aborted landings. Cleaning crew had not prepared the plane appropriately. And the attendants did not know how to diffuse a bad situation and made it much worse."
✅ Trip Verified ,,Family Leisure,Economy Class,Seattle to Tampa via Denver,April 2023,1.0,1.0,,,,1.0,1,no,1,  After purchasing a ticket months in advance we were told after checking in and arriving at the gate that the flight was overbooked and we probably won’t have seats. After waiting until everyone was boarded we were finally given seats. Our connection in Denver was awful. A staff member was on a power trip and said that all of my party of 3’s back packs that we brought with us from Seattle and fit under the seats were too big and not allowed so we had to pay $99 per bag to take them onto the plane! We ended up paying $118 to check 2 bags initially then $297 to bring back packs onto the plane. So you may think you have a deal with Frontier but they will nickel and dime you for everything. It cost me $415 to get our luggage to our destination! That’s almost as much as the initial ticket. Customer service is shocking. They even charge you $3.50 for a bottle of water! I will never use Frontier Ever again and I advise anyone considering it to think twice. Pay the difference to fly an airline like Alaska where they appreciate their customers and don’t charge you for everything. It will save you money in the end!
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Omaha to Washington DC via Denver,April 2023,1.0,3.0,1.0,,,1.0,2,no,1," 
First and last time on Frontier. Worst airline and rude customer service. They nickel and dime you to death. Nothing is included. Unlike any other airline that allows a carry-on, here you pay (a lot) for even a carry-on. And bring your own drinks and snacks too - you can get a cup of water. I would rather pay a little more and not be nickel and dimed to death. It isn’t any cheaper than any other airline once you pay for all the extras that are not extra anywhere else. And rude. Do not ask anyone at a counter a question or you will get rude snarky comments (such as - I just answered that for the guy in front of you! Sorry I didn’t hear what you told him, you don’t have to talk to me like I’m dirt on your shoe). And make sure you know how to check in and tag your own bag at the kiosk because any help at check-in is another $10 - I didn’t need it but seriously people? Do yourself a favor and fly another airline. Any other airline."
✅ Trip Verified ,,Business,Economy Class,Oklahoma City to Denver,April 2023,1.0,1.0,,,,1.0,1,no,1,  The worst airline. I did my due diligence in measuring my bag and then they proceeded to charging me 100 dollars for it on an empty flight. We have had bad experiences every time we get on one of their planes. Not worth it!
✅ Trip Verified ,,Couple Leisure,Economy Class,Philadelphia to Miami,November 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Never flying this airline again, worst customer service ever. I tried to give them another chance after another screw up but this drew the line. 350 bucks for a flight and I wanted to go in and update my city of arrival. They don’t give that option and online customer service says to cancel for a credit then re book, did that and did not receive any credit. Chatted back into customer service and told me that there was nothing they could do and I was getting a cancel charge on top of losing my booking. When I asked to speak to a supervisor they stated “we understand you want to speak to a supervisor but it won’t make a difference” how could you possibly treat customers today like this. In todays world customer experience is key for customer retention, you totally lost me as a customer and I am sharing this experience with everyone. Tired of these airlines taking advantage."
✅ Trip Verified ,,Solo Leisure,Economy Class,Orlando to Charlotte,March 2023,1.0,1.0,,,,1.0,1,no,1,"  Almost two hours delay. Then they tried to charge passengers for personal bags as carry ons, causing passengers to start going over their personal belongings). Employees are unprofessional."
✅ Trip Verified ,,Couple Leisure,Economy Class,Orlando to Philadelphia,March 2023,1.0,1.0,1.0,,,3.0,1,no,1,"  Everything about my travels with Frontier airline was horrible. All but 1 or 2 of the self check in stations at Philadelphia were out of paper. My flight to Orlando was over 3 hours late for no apparent reason - the weather (the usual reason they give) was great. We lost our whole afternoon in Fl as we didn’t get in until after dinner time. The staff was abrupt and not friendly - especially the person hawking the bag drop line in Orlando who wouldn’t let people get in line while a family member went to check in and get the bag tickets. She made people get out of line until the bags had tickets on them even though the line was long and it took over 30 mins to get through it. Only 4 people were taking bags while 5 other employees stood around talking and laughing. Other stations could have been opened. And frontier charges for everything - from sodas on the flights, $25 per person if you didn’t check in in the app and need them to check you in, suitcases o we 40 lbs, to charging you for carry on bags. It’s all about the money. And in Orlando, there was no place to sit anywhere near my gate. People were sitting on the floor. We had to go to a whole other area to find a place to sit."
Not Verified ,,Solo Leisure,Economy Class,Kansas City to San Francisco via Denver,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  If your are a choosing Frontier Airlines for lower price, I would recommend you to pick different airline because this airline frequently delays flights, if you have connecting airline better to choose different airline. This is worst airline in my life, kindly save your money they don't even give your refund. I faced lot of differences with this airline. Choose different even though if it costs more then this."
Not Verified ,,Family Leisure,Premium Economy,Candun to Cleveland,March 2023,3.0,5.0,,,,3.0,5,yes,10,  My family recently flew Frontier Airline. Our daughter has some chronic health issues. She became ill on the plane and needed medical assistance. The flight attendants were completely wonderful. They paid very close attention to my daughter and moved her up to the front of the plane where a doctor and nurse happened to be. They got oxygen for her and checked on her often. They arranged for an ambulance to meet us at the airport where my daughter was taken to the Cleveland Clinic. The pilot was great as well. I was very impressed with the entire staff at Frontier.
Not Verified ,,Family Leisure,Economy Class,Salt Lake City to Las Vegas,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Inconvenient is the word I would use to describe my experience with booking with Frontier Airlines. Replacing by the phone customer service with online ""chat bot"" that doesn't work should be illegal. Quit playing with peoples money."
Not Verified ,,Family Leisure,Economy Class,Denver to Atlanta,January 2023,1.0,1.0,,,,1.0,1,no,1,  Took a flight for my wedding and let’s just say I have been TRAUMATIZED never again!! Horrible airline and horrible customer service. You can’t call anyone and then you get this horrible automated chat. Then once you break through that you get agents who don’t help and you can tell are just reading a script. I might as well just talk to the automated system. Your guidelines unclear and when you spent time thinking you made the right decision they come out of nowhere with something that wasn’t on there. Oh but they can provide you that link if need be. I have gotten credit after credit with an airline I will NEVER fly again. Avoid at all cost. Hopefully they get shut down so we never have to be tortured by their incompetence ever again.
Not Verified ,,Family Leisure,Economy Class,St. Louis to Cancun,March 2023,1.0,3.0,,,,1.0,1,no,1,"  Frontier is the absolute worst airline I've ever flown. They nickel and dime everything. Even though they impose the highest cost for checked luggage, they have a 40 lb weight max whereas all other airlines is 50 lbs. Their app and website are constantly breaking down. It wouldn't even allow me to purchase baggage. I finally had to call Frontier directly (never allowed me to speak with an agent) and purchase the baggage via chat. (Very cumbersome and time-consuming.) When checking in online, it took at least 10 pages and asked for information (ie., KTN and passport) that I've previously entered. Upon arrival at the airport, there were no kiosks where I can print out my own luggage tags so that I may do self-service check-in as described online. On our return flight, the app/website didn't even allow for online check-in. There were only 2 kiosks that worked for Frontier, even though there were 20+ that were available for all other airlines. The ticketing agent used fear tactics to try to force us to purchase carry-on luggage for our personal items, even though our personal items met the dimensions specified on Frontier's corporate website. When we arrived at the gate, the agent refused to help any non-Spanish speaking passengers. She literally helped 3 Spanish-speaking passengers and just left without a word to the rest of us. I couldn't believe it. The seats on both flights were hard as plywood with minimal padding and zero recline. From this point forward, we will never fly Frontier again. I'm willing to pay double for any other airline. It just isn't worth it."
✅ Trip Verified ,,Family Leisure,Economy Class,Cleveland to Phoenix,March 2023,2.0,2.0,1.0,1.0,1.0,1.0,2,no,2," Worst boarding experience ever. Lots of people were frustrated and angry. The lady forcing bag measuring was unfriendly and strict. She wouldn’t even let you assist your bag into the measuring box and said it had to fall in freely. Backpacks have air inside and straps that get in the way. We’ve traveled Frontier for years with the same backpacks. My daughters favorite travel backpack had a handle that stuck out less than an inch from the box. The charge for that was $99. I couldn’t afford to pay that. They said no exceptions. Explaining to my 8 year old that we had to put her favorite bag in the trash was heart breaking. Only positive thing was the passengers sticking together and supporting each other through the trauma induced by Frontier. Once on the plane there wasn’t even water offered. Within 2 hours of the 4.5 hour flight the ran out of water for purchase. They’d bring a water in a cup if requested, but the crew seemed inconvenienced by that. I heard lots of “we’ll never choose Frontier again”."
Not Verified ,,Family Leisure,Economy Class,Orlando to Aguadilla via West Palm Beach,March 2023,1.0,3.0,2.0,1.0,1.0,1.0,1,no,1,"  Our flight was supposed to depart from Aguadilla, PR at 8.21 pm. We were advised one hour prior to the departure time that the flight would be delayed for two hours. We departed from Aguadilla by 11.00 pm and arrived at Orlando by 2.00 pm. This situation meant that my family stayed in the airport until 4.30 am. The parking where we left our car closed at 2.00 am, we got stuck two and a half hours at Orlando airport. Then we had to travel two hours and a half to our home. Because of the negligence of this airline we spent a complete night at the airport and our son got sick too. When I asked an Frontier counter employee at Aguadilla about the situation and tried to explained him, his response was that he was in there to help travelers to board the plane and he was not a direct Frontier employee. Also the baggage charges are very high comparing with the service. We chose Frontier considering flight tickets prices but when you see the baggage prices it is better to choose other carrier. Definitely this was our last travel with this airline."
Not Verified ,A320,Family Leisure,Economy Class,Punta Cana to Chicago ,March 2023,1.0,2.0,,,1.0,1.0,1,no,1,"  I had a flight out of O'Hare on March 20th 2023, tried to do a check in and baggage online the night before with no success, arrived at the airport to be told that I would have to pay $25 check-in fee and had to pay $79 per bag. Had I been able to do it online I would have only been charged 50 to $54. On my return to O'Hare flight 81 on March 27th 2023 I needed a wheelchair which I tried to do online with no success again and still had issues trying to do check in and baggage, so had to pay $25 again for check in at the counter and $79 per bag which I had two of them so round trip I ended up paying almost $400 for checking in fees at the counter and for my bags. Ask for a wheelchair to be told my name was not on the roster well how can I do that if you can't do anything on their website, no customer service number to call only chat which is absolutely horrible so now I had to sit and wait almost 50 minutes for someone to come and transport me through customs, the seats are so uncomfortable and tight no button to recline the seats you just have to sit in an upright position, this airline is absolutely horrible and I never want to fly with them again the only good thing that I can say is that the landing was the best I've experienced. I'm not sure who the woman was at the gate but she was as helpful as she could be didn't get her name but was told that she would put in a complaint for me somehow I doubt that's never going to take place so to some the whole frontier experience up I would say just don't use a totally different carrier!"
